Código;Ação;Qtde. Teórica;Part. (%)
CYRE3;CYRELA REALT;281.154.098;0,239
PNVL3;DIMED;68.859.355;0,054
DIRR3;DIRECIONAL;81.360.368;0,042
DTEX3;DURATEX;273.813.447;0,238
ECOR3;ECORODOVIAS;172.602.770;0,075
ELET3;ELETROBRAS;358.018.408;0,563
ELET6;ELETROBRAS;242.977.127;0,384
EMBR3;EMBRAER;736.143.105;0,507
ENAT3;ENAUTA PART;75.939.767;0,05
ENBR3;ENERGIAS BR;231.489.471;0,149
ENGI11;ENERGISA;250.679.709;0,426
ENEV3;ENEVA;1.258.511.620;0,78
EGIE3;ENGIE BRASIL;254.792.279;0,364
ENJU3;ENJOEI;167.521.497;0,063
EQTL3;EQUATORIAL;1.010.286.085;0,914
EVEN3;EVEN;209.535.948;0,08
EZTC3;EZTEC;95.756.217;0,108
FESA4;FERBASA;40.145.300;0,065
FLRY3;FLEURY;303.800.430;0,287
GFSA3;GAFISA;118.208.091;0,019
GGBR4;GERDAU;995.903.643;1,076
GOAU4;GERDAU MET;693.699.918;0,35
GOLL4;GOL;178.123.292;0,149
GRND3;GRENDENE;268.371.180;0,098
GMAT3;GRUPO MATEUS;463.952.163;0,134
NTCO3;GRUPO NATURA;841.433.075;1,742
SBFG3;GRUPO SBF;88.709.474;0,124
SOMA3;GRUPO SOMA;183.851.421;0,107
HAPV3;HAPVIDA;1.265.256.490;0,711
HBOR3;HELBOR;65.261.522;0,02
HBSA3;HIDROVIAS;325.623.566;0,077
HYPE3;HYPERA;410.147.968;0,516
IGTA3;IGUATEMI;85.796.919;0,127
PARD3;IHPARDINI;43.661.030;0,033
MEAL3;IMC S/A;264.441.032;0,039
ROMI3;INDS ROMI;37.272.660;0,033
GNDI3;INTERMEDICA;593.438.080;1,839
MYPK3;IOCHP-MAXION;141.465.625;0,083
RANI3;IRANI;85.725.289;0,029
IRBR3;IRBBRASIL RE;1.255.286.531;0,264
ITSA4;ITAUSA;4.515.538.171;1,837
ITUB3;ITAUUNIBANCO;384.789.136;0,375
ITUB4;ITAUUNIBANCO;4.770.095.054;5,184
JBSS3;JBS;1.388.025.890;1,474
JHSF3;JHSF PART;288.832.602;0,076
KLBN11;KLABIN S/A;922.294.338;0,886
LAVV3;LAVVI;93.139.429;0,028
LIGT3;LIGHT S/A;372.555.324;0,207
RENT3;LOCALIZA;593.841.434;1,387
LCAM3;LOCAMERICA;323.763.077;0,324
LWSA3;LOCAWEB;427.663.748;0,422
LOGG3;LOG COM PROP;59.190.591;0,069
LOGN3;LOG-IN;100.109.944;0,069
LAME3;LOJAS AMERIC;249.502.964;0,188
LAME4;LOJAS AMERIC;847.010.651;0,667
AMAR3;LOJAS MARISA;111.476.495;0,038
LREN3;LOJAS RENNER;887.417.914;1,432
LPSB3;LOPES BRASIL;114.874.308;0,02
MDIA3;M.DIASBRANCO;83.669.782;0,1
MGLU3;MAGAZ LUIZA;2.668.955.512;2,059
POMO4;MARCOPOLO;573.419.889;0,071
MRFG3;MARFRIG;368.864.634;0,258
CASH3;MELIUZ;74.543.311;0,134
LEVE3;METAL LEVE;38.492.519;0,046
MILS3;MILLS;115.486.678;0,037
BEEF3;MINERVA;240.482.896;0,082
MTRE3;MITRE REALTY;54.039.454;0,024
MOVI3;MOVIDA;132.113.940;0,095
MRVE3;MRV;293.978.672;0,175
MULT3;MULTIPLAN;245.888.754;0,211
NEOE3;NEOENERGIA;226.098.192;0,143
