Código;Ação;Qtde. Teórica;Part. (%)
MBLY3;MOBLY;44.444.445;0,047
MOSI3;MOSAICO;55.594.460;0,061
MDNE3;MOURA DUBEUX;57.199.595;0,034
MOVI3;MOVIDA;132.113.940;0,154
MRVE3;MRV;293.978.672;0,285
NEOE3;NEOENERGIA;226.098.192;0,233
NGRD3;NEOGRID;108.100.000;0,037
OPCT3;OCEANPACT;199.959.554;0,106
ODPV3;ODONTOPREV;263.448.316;0,204
OMGE3;OMEGA GER;122.249.557;0,276
ORVR3;ORIZON;33.918.099;0,059
OFSA3;OUROFINO S/A;23.582.833;0,048
PCAR3;P.ACUCAR-CBD;156.928.631;0,36
PDTC3;PADTEC;34.893.806;0,014
PGMN3;PAGUE MENOS;159.318.000;0,106
PMAM3;PARANAPANEMA;43.403.849;0,038
BRDT3;PETROBRAS BR;1.164.958.126;1,844
RECV3;PETRORECSA;223.667.558;0,262
PRIO3;PETRORIO;807.220.415;0,933
PETZ3;PETZ;261.956.811;0,401
PLPL3;PLANOEPLANO;73.404.500;0,027
PSSA3;PORTO SEGURO;93.637.072;0,297
PTBL3;PORTOBELLO;69.996.578;0,073
POSI3;POSITIVO TEC;78.616.498;0,058
PRNR3;PRINER;38.177.550;0,024
PFRM3;PROFARMA;87.499.778;0,035
QUAL3;QUALICORP;283.467.789;0,486
LJQQ3;QUERO-QUERO;177.734.774;0,241
RADL3;RAIADROGASIL;1.072.645.150;1,573
RDOR3;REDE D OR;903.127.590;3,699
RDNI3;RNI;15.049.835;0,011
RSID3;ROSSI RESID;13.676.606;0,009
RAIL3;RUMO S.A.;1.218.081.171;1,384
SBSP3;SABESP;339.999.111;0,738
STBP3;SANTOS BRP;857.995.211;0,46
SCAR3;SAO CARLOS;22.777.352;0,058
SMTO3;SAO MARTINHO;143.032.073;0,306
SEQL3;SEQUOIA LOG;109.785.229;0,183
SEER3;SER EDUCA;54.346.207;0,06
SIMH3;SIMPAR;85.662.375;0,283
SQIA3;SINQIA;58.702.058;0,086
SLCE3;SLC AGRICOLA;86.086.214;0,262
SGPS3;SPRINGS;23.408.641;0,016
SUZB3;SUZANO S.A.;724.921.241;2,573
TECN3;TECHNOS;64.903.072;0,012
TCSA3;TECNISA;54.501.246;0,027
TGMA3;TEGMA;32.001.480;0,046
TEND3;TENDA;96.408.761;0,143
TESA3;TERRA SANTA;7.184.729;0,021
TIMS3;TIM;808.485.985;0,553
SHOW3;TIME FOR FUN;35.113.740;0,013
TOTS3;TOTVS;480.228.410;1,073
TRIS3;TRISUL;78.643.944;0,046
TPIS3;TRIUNFO PART;74.061.523;0,015
TUPY3;TUPY;66.821.197;0,094
UGPA3;ULTRAPAR;1.085.987.426;1,185
UCAS3;UNICASA;29.340.638;0,009
VALE3;VALE;2.889.469.796;19,416
VLID3;VALID;78.582.401;0,051
VAMO3;VAMOS;45.620.437;0,153
VVAR3;VIAVAREJO;1.595.508.601;1,495
VIVA3;VIVARA S.A.;93.368.726;0,182
VULC3;VULCABRAS;74.685.291;0,043
