Código;Ação;Qtde. Teórica;Part. (%)
BRKM3;BRASKEM;12.907.077;0,027
BRKM5;BRASKEM;264.640.575;0,566
BRFS3;BRF SA;811.759.800;0,797
BPAC11;BTGP BANCO;1.041.983.176;1,143
CXSE3;CAIXA SEGURI;450.000.000;0,211
CAML3;CAMIL;116.264.997;0,04
CRFB3;CARREFOUR BR;391.758.726;0,296
CCRO3;CCR SA;1.115.693.556;0,539
CEAB3;CEA MODAS;106.394.635;0,055
CEDO4;CEDRO;3.456.367;0,001
CLSC4;CELESC;22.810.149;0,056
CESP6;CESP;182.017.689;0,157
HGTX3;CIA HERING;126.186.408;0,155
CIEL3;CIELO;1.112.196.638;0,146
COGN3;COGNA ON;1.847.994.874;0,288
CSMG3;COPASA;188.444.559;0,105
CSAN3;COSAN;1.169.237.744;1,007
CTNM4;COTEMINAS;14.560.262;0,003
CPFE3;CPFL ENERGIA;187.714.249;0,182
CRDE3;CR2;2.380.679;0,002
CSED3;CRUZEIRO EDU;77.755.200;0,043
CMIN3;CSNMINERACAO;1.200.110.145;0,395
CARD3;CSU CARDSYST;18.217.771;0,015
CURY3;CURY S/A;104.545.454;0,038
CVCB3;CVC BRASIL;225.955.651;0,225
CCPR3;CYRE COM-CCP;59.386.986;0,025
CYRE3;CYRELA REALT;281.154.098;0,236
DMVF3;D1000VFARMA;23.536.205;0,008
DASA3;DASA;51.285.401;0,114
PNVL3;DIMED;68.859.355;0,053
PNVL4;DIMED;13.485.690;0,01
DIRR3;DIRECIONAL;81.360.368;0,041
DOTZ3;DOTZ SA;33.724.652;0,017
DTEX3;DURATEX;273.813.447;0,234
ECOR3;ECORODOVIAS;172.602.770;0,074
ELMD3;ELETROMIDIA;50.909.200;0,033
EMBR3;EMBRAER;736.143.105;0,499
ENAT3;ENAUTA PART;75.939.767;0,049
ENBR3;ENERGIAS BR;231.489.471;0,147
ENGI11;ENERGISA;250.679.709;0,42
ENEV3;ENEVA;1.258.511.620;0,768
EGIE3;ENGIE BRASIL;254.792.279;0,359
ENJU3;ENJOEI;167.521.497;0,062
EQTL3;EQUATORIAL;1.010.286.085;0,901
ESPA3;ESPACOLASER;161.552.357;0,11
ALPK3;ESTAPAR;103.710.767;0,031
EVEN3;EVEN;209.535.948;0,079
EZTC3;EZTEC;95.756.217;0,107
FLRY3;FLEURY;303.800.430;0,283
POWE3;FOCUS ON;42.864.081;0,025
GFSA3;GAFISA;118.208.091;0,019
GSHP3;GENERALSHOPP;1.875.251;0,003
GEPA4;GER PARANAP;3.300.250;0,004
GGBR3;GERDAU;14.031.044;0,013
GGBR4;GERDAU;995.903.643;1,06
GOAU3;GERDAU MET;90.953.948;0,042
GOAU4;GERDAU MET;693.699.918;0,345
NINJ3;GETNINJAS;42.897.889;0,041
GOLL4;GOL;178.123.292;0,147
GGPS3;GPS;667.490.790;0,413
CGRA3;GRAZZIOTIN;2.634.233;0,003
CGRA4;GRAZZIOTIN;9.064.749;0,011
GRND3;GRENDENE;268.371.180;0,097
GMAT3;GRUPO MATEUS;463.952.163;0,132
NTCO3;GRUPO NATURA;841.433.075;1,716
SBFG3;GRUPO SBF;88.709.474;0,122
SOMA3;GRUPO SOMA;183.851.421;0,105
HAPV3;HAPVIDA;1.265.256.490;0,701
HBRE3;HBR REALTY;24.540.000;0,016
HBOR3;HELBOR;65.261.522;0,02
HBSA3;HIDROVIAS;325.623.566;0,075
HYPE3;HYPERA;410.147.968;0,508
IGTA3;IGUATEMI;85.796.919;0,125
PARD3;IHPARDINI;43.661.030;0,033
MEAL3;IMC S/A;264.441.032;0,039
ROMI3;INDS ROMI;37.272.660;0,032
IFCM3;INFRACOMM;231.208.845;0,198
INTB3;INTELBRAS;82.800.000;0,085
GNDI3;INTERMEDICA;593.438.080;1,812
MYPK3;IOCHP-MAXION;141.465.625;0,082
RANI3;IRANI;85.725.289;0,028
IRBR3;IRBBRASIL RE;1.255.286.531;0,26
ITSA4;ITAUSA;4.515.538.171;1,81
ITUB4;ITAUUNIBANCO;4.770.095.054;5,107
JALL3;JALLESMACHAD;97.713.448;0,036
JBSS3;JBS;1.388.025.890;1,452
JHSF3;JHSF PART;288.832.602;0,075
JSLG3;JSL;63.399.039;0,027
KEPL3;KEPLER WEBER;26.291.930;0,053
KLBN11;KLABIN S/A;922.294.338;0,873
LAVV3;LAVVI;93.139.429;0,028
LIGT3;LIGHT S/A;372.555.324;0,205
RENT3;LOCALIZA;593.841.434;1,366
LCAM3;LOCAMERICA;323.763.077;0,319
LWSA3;LOCAWEB;427.663.748;0,416
LOGG3;LOG COM PROP;59.190.591;0,068
LOGN3;LOG-IN;100.109.944;0,068
LAME3;LOJAS AMERIC;249.502.964;0,185
