Código;Ação;Qtde. Teórica;Part. (%)
GSHP3;GENERALSHOPP;3.750.502;0,003
GGBR3;GERDAU;14.031.044;0,007
GGBR4;GERDAU;995.903.643;0,61
GOAU3;GERDAU MET;90.953.948;0,024
GOAU4;GERDAU MET;693.699.918;0,198
NINJ3;GETNINJAS;85.795.778;0,047
GOLL4;GOL;267.184.398;0,127
GGPS3;GPS;1.334.981.580;0,475
GRND3;GRENDENE;536.742.360;0,111
GMAT3;GRUPO MATEUS;927.904.326;0,152
NTCO3;GRUPO NATURA;1.682.866.150;1,974
SBFG3;GRUPO SBF;177.418.948;0,14
SOMA3;GRUPO SOMA;367.702.842;0,121
HAPV3;HAPVIDA;2.530.512.980;0,806
HBRE3;HBR REALTY;49.080.000;0,018
HBOR3;HELBOR;130.523.044;0,023
HBSA3;HIDROVIAS;651.247.132;0,087
HYPE3;HYPERA;820.295.936;0,584
IGTA3;IGUATEMI;171.593.838;0,143
PARD3;IHPARDINI;87.322.060;0,038
MEAL3;IMC S/A;528.882.064;0,044
ROMI3;INDS ROMI;74.545.320;0,037
IFCM3;INFRACOMM;462.417.690;0,228
INTB3;INTELBRAS;165.600.000;0,098
GNDI3;INTERMEDICA;1.186.876.160;2,083
MYPK3;IOCHP-MAXION;282.931.250;0,094
RANI3;IRANI;171.450.578;0,033
IRBR3;IRBBRASIL RE;2.510.573.062;0,299
ITSA3;ITAUSA;1.061.351.420;0,25
ITSA4;ITAUSA;4.515.538.171;1,041
ITUB3;ITAUUNIBANCO;384.789.136;0,213
ITUB4;ITAUUNIBANCO;4.770.095.054;2,937
JALL3;JALLESMACHAD;195.426.896;0,041
JBSS3;JBS;2.776.051.780;1,67
JHSF3;JHSF PART;577.665.204;0,087
JSLG3;JSL;126.798.078;0,031
KLBN11;KLABIN S/A;1.383.441.507;0,753
LAVV3;LAVVI;186.278.858;0,032
LIGT3;LIGHT S/A;745.110.648;0,235
RENT3;LOCALIZA;1.187.682.868;1,571
LCAM3;LOCAMERICA;647.526.154;0,367
LWSA3;LOCAWEB;855.327.496;0,478
LOGG3;LOG COM PROP;118.381.182;0,078
LOGN3;LOG-IN;200.219.888;0,078
LAME3;LOJAS AMERIC;249.502.964;0,107
LAME4;LOJAS AMERIC;847.010.651;0,378
AMAR3;LOJAS MARISA;222.952.990;0,043
LREN3;LOJAS RENNER;1.774.835.828;1,622
LPSB3;LOPES BRASIL;229.748.616;0,022
MDIA3;M.DIASBRANCO;167.339.564;0,113
MGLU3;MAGAZ LUIZA;5.337.911.024;2,333
POMO3;MARCOPOLO;251.510.290;0,017
POMO4;MARCOPOLO;860.129.833;0,06
MRFG3;MARFRIG;737.729.268;0,292
MATD3;MATER DEI;709.446.386;0,246
CASH3;MELIUZ;149.086.622;0,152
MELK3;MELNICK;152.429.400;0,019
BMEB3;MERC BRASIL;10.948.799;0,005
BMEB4;MERC BRASIL;14.333.243;0,006
LEVE3;METAL LEVE;76.985.038;0,053
MILS3;MILLS;230.973.356;0,042
BEEF3;MINERVA;480.965.792;0,093
MTRE3;MITRE REALTY;108.078.908;0,027
MBLY3;MOBLY;88.888.890;0,033
MODL3;MODALMAIS;55.809.000;0,009
MODL4;MODALMAIS;111.591.000;0,013
MODL11;MODALMAIS;76.575.000;0,029
MOSI3;MOSAICO;111.188.920;0,042
MDNE3;MOURA DUBEUX;114.399.190;0,024
