Código;Índice;Qtde Teórica;Part. (%)
MRFG3;IBrA;368864634;0.242
CASH3;IBrA;74543311;0.126
LEVE3;IBrA;38492519;0.044
MILS3;IBrA;115486678;0.034
BEEF3;IBrA;240482896;0.077
MTRE3;IBrA;54039454;0.022
MOVI3;IBrA;132113940;0.089
MRVE3;IBrA;293978672;0.164
MULT3;IBrA;245888754;0.198
NEOE3;IBrA;226098192;0.135
NGRD3;IBrA;108100000;0.021
ODPV3;IBrA;263448316;0.118
OMGE3;IBrA;122249557;0.159
PCAR3;IBrA;156928631;0.208
PETR3;IBrA;3684060179;3.823
PETR4;IBrA;4566457037;4.604
BRDT3;IBrA;1164958126;1.065
PRIO3;IBrA;807220415;0.539
PETZ3;IBrA;261956811;0.231
PSSA3;IBrA;93637072;0.172
PTBL3;IBrA;69996578;0.042
POSI3;IBrA;78616498;0.033
QUAL3;IBrA;283467789;0.281
LJQQ3;IBrA;177734774;0.139
RADL3;IBrA;1072645150;0.908
RAPT4;IBrA;177421406;0.082
RCSL4;IBrA;50414424;0.004
RDOR3;IBrA;903127590;2.136
RAIL3;IBrA;1218081171;0.799
SBSP3;IBrA;339999111;0.426
SAPR4;IBrA;203503821;0.029
SAPR11;IBrA;200991234;0.140
SANB11;IBrA;355642348;0.493
STBP3;IBrA;857995211;0.265
SMTO3;IBrA;143032073;0.177
SEQL3;IBrA;109785229;0.106
SEER3;IBrA;54346207;0.035
CSNA3;IBrA;642398790;0.968
SIMH3;IBrA;85662375;0.163
SQIA3;IBrA;58702058;0.050
SLCE3;IBrA;86086214;0.151
SULA11;IBrA;284566116;0.339
SUZB3;IBrA;724921241;1.485
TAEE11;IBrA;218568274;0.277
TASA4;IBrA;48884169;0.040
TCSA3;IBrA;54501246;0.016
TGMA3;IBrA;32001480;0.027
VIVT3;IBrA;444219852;0.634
TEND3;IBrA;96408761;0.083
TIMS3;IBrA;808485985;0.319
TOTS3;IBrA;480228410;0.619
TRPL4;IBrA;395797044;0.340
TRIS3;IBrA;78643944;0.026
TUPY3;IBrA;66821197;0.054
UGPA3;IBrA;1085987426;0.684
UNIP6;IBrA;44332601;0.150
USIM5;IBrA;513796208;0.336
VALE3;IBrA;4997125690;19.388
VLID3;IBrA;78582401;0.030
VVAR3;IBrA;1595508601;0.863
VIVA3;IBrA;93368726;0.105
VULC3;IBrA;74685291;0.025
WEGE3;IBrA;1482296002;1.711
WIZS3;IBrA;77719799;0.047
YDUQ3;IBrA;300483575;0.338
ALSO3;IBrX 100;127376805;0.138
ALPA4;IBrX 100;168770200;0.315
ABEV3;IBrX 100;4358542894;2.766
ASAI3;IBrX 100;156928631;0.505
AZUL4;IBrX 100;327262616;0.534
BTOW3;IBrX 100;201802882;0.497
B3SA3;IBrX 100;6119434194;3.826
BIDI4;IBrX 100;100239024;0.097
BIDI11;IBrX 100;453631743;1.312
BPAN4;IBrX 100;341124068;0.305
BBSE3;IBrX 100;671584841;0.577
BRML3;IBrX 100;843728684;0.318
BBDC3;IBrX 100;1253093907;1.018
BBDC4;IBrX 100;4261649634;4.076
BRAP4;IBrX 100;222604507;0.615
BBAS3;IBrX 100;1283197221;1.533
BRKM5;IBrX 100;264640575;0.586
BRFS3;IBrX 100;811759800;0.825
BPAC11;IBrX 100;1041983176;1.182
CRFB3;IBrX 100;391758726;0.306
CCRO3;IBrX 100;1115693556;0.558
CMIG4;IBrX 100;1081211185;0.488
CESP6;IBrX 100;182017689;0.162
HGTX3;IBrX 100;126186408;0.160
CIEL3;IBrX 100;1112196638;0.150
COGN3;IBrX 100;1847994874;0.297
CPLE6;IBrX 100;570829074;0.126
CSAN3;IBrX 100;1169237744;1.041
CPFE3;IBrX 100;187714249;0.188
CVCB3;IBrX 100;225955651;0.233
CYRE3;IBrX 100;281154098;0.244
DTEX3;IBrX 100;273813447;0.242
ECOR3;IBrX 100;172602770;0.076
ELET3;IBrX 100;358018408;0.575
ELET6;IBrX 100;242977127;0.391
EMBR3;IBrX 100;736143105;0.516
ENBR3;IBrX 100;231489471;0.152
ENGI11;IBrX 100;250679709;0.434
ENEV3;IBrX 100;1258511620;0.794
EGIE3;IBrX 100;254792279;0.371
EQTL3;IBrX 100;1010286085;0.931
EZTC3;IBrX 100;95756217;0.111
FLRY3;IBrX 100;303800430;0.293
GGBR4;IBrX 100;995903643;1.096
GOAU4;IBrX 100;693699918;0.357
GOLL4;IBrX 100;178123292;0.152
NTCO3;IBrX 100;841433075;1.775
SBFG3;IBrX 100;88709474;0.126
HAPV3;IBrX 100;1265256490;0.725
HYPE3;IBrX 100;410147968;0.526
IGTA3;IBrX 100;85796919;0.129
MEAL3;IBrX 100;264441032;0.040
GNDI3;IBrX 100;593438080;1.874
IRBR3;IBrX 100;1255286531;0.269
ITSA4;IBrX 100;4515538171;1.872
ITUB4;IBrX 100;4770095054;5.282
JBSS3;IBrX 100;1388025890;1.502
JHSF3;IBrX 100;288832602;0.078
KLBN11;IBrX 100;922294338;0.903
LIGT3;IBrX 100;372555324;0.211
RENT3;IBrX 100;593841434;1.413
LCAM3;IBrX 100;323763077;0.330
LWSA3;IBrX 100;427663748;0.430
LAME3;IBrX 100;249502964;0.192
LAME4;IBrX 100;847010651;0.679
AMAR3;IBrX 100;111476495;0.038
LREN3;IBrX 100;887417914;1.459
MGLU3;IBrX 100;2668955512;2.098
MRFG3;IBrX 100;368864634;0.262
BEEF3;IBrX 100;240482896;0.084
